NO (µg/m³N),NO2 (µg/m³N),SO2 (µg/m³N),O3 (µg/m³N),TMP (ºC),HR (% H.R.),NOX (µg/m³N),DD (grados),PRB (mb),RS (W/m³),VV (m/s),C6H6 (µg/m³N),C7H8 (µg/m³N),XIL (µg/m³N),PM10 (µg/m³N),Ruido (dBA)
8.0,25.0,12.0,81.0,16.0,58.0,37.0,172.0,1028.0,486.0,1.0,,,,17.0,
5.0,18.0,10.0,84.0,16.0,57.0,26.0,155.0,1028.0,361.0,1.0,,,,19.0,
9.0,20.0,11.0,84.0,15.0,61.0,34.0,167.0,1028.0,187.0,1.0,,,,24.0,
9.0,27.0,10.0,79.0,14.0,65.0,40.0,174.0,1029.0,26.0,2.0,,,,23.0,
11.0,55.0,13.0,56.0,13.0,73.0,71.0,195.0,1029.0,2.0,1.0,,,,30.0,
10.0,70.0,14.0,47.0,12.0,77.0,85.0,227.0,1029.0,2.0,1.0,,,,30.0,
18.0,112.0,15.0,9.0,10.0,86.0,139.0,329.0,1030.0,2.0,1.0,,,,44.0,
9.0,76.0,16.0,22.0,9.0,91.0,89.0,313.0,1030.0,2.0,1.0,,,,27.0,
6.0,57.0,16.0,28.0,8.0,93.0,66.0,319.0,1030.0,2.0,1.0,,,,24.0,
5.0,43.0,15.0,34.0,8.0,94.0,50.0,322.0,1030.0,2.0,1.0,,,,21.0,
5.0,42.0,13.0,26.0,8.0,94.0,50.0,39.0,1030.0,3.0,1.0,,,,20.0,
2.0,26.0,14.0,45.0,8.0,94.0,29.0,341.0,1030.0,3.0,1.0,,,,19.0,
4.0,20.0,13.0,50.0,8.0,93.0,26.0,321.0,1029.0,2.0,1.0,,,,15.0,
3.0,16.0,13.0,49.0,8.0,92.0,21.0,309.0,1029.0,2.0,1.0,,,,15.0,
4.0,15.0,14.0,50.0,8.0,90.0,22.0,311.0,1029.0,2.0,1.0,,,,13.0,
6.0,13.0,13.0,52.0,8.0,91.0,21.0,304.0,1029.0,3.0,1.0,,,,14.0,
5.0,14.0,11.0,47.0,8.0,92.0,22.0,299.0,1028.0,3.0,1.0,,,,13.0,
4.0,14.0,13.0,41.0,7.0,92.0,19.0,302.0,1029.0,2.0,1.0,,,,13.0,
5.0,15.0,13.0,42.0,7.0,92.0,22.0,307.0,1029.0,10.0,1.0,,,,13.0,
3.0,13.0,10.0,37.0,7.0,88.0,18.0,300.0,1029.0,48.0,1.0,,,,14.0,
6.0,16.0,7.0,42.0,9.0,83.0,25.0,306.0,1029.0,82.0,1.0,,,,18.0,
6.0,20.0,9.0,50.0,12.0,78.0,29.0,302.0,1029.0,302.0,1.0,,,,22.0,
6.0,18.0,9.0,62.0,14.0,71.0,27.0,303.0,1028.0,510.0,1.0,,,,19.0,
6.0,18.0,11.0,73.0,15.0,65.0,26.0,310.0,1027.0,524.0,1.0,,,,14.0,
6.0,18.0,10.0,75.0,16.0,61.0,27.0,258.0,1026.0,470.0,1.0,,,,17.0,
4.0,14.0,11.0,81.0,16.0,63.0,19.0,173.0,1025.0,368.0,1.0,,,,15.0,
6.0,17.0,13.0,82.0,16.0,59.0,26.0,207.0,1025.0,198.0,1.0,,,,11.0,
7.0,28.0,14.0,75.0,15.0,66.0,39.0,206.0,1025.0,22.0,1.0,,,,20.0,
9.0,48.0,13.0,54.0,13.0,76.0,61.0,211.0,1024.0,2.0,1.0,,,,23.0,
8.0,49.0,9.0,53.0,12.0,83.0,61.0,224.0,1024.0,1.0,1.0,,,,25.0,
12.0,80.0,8.0,31.0,10.0,87.0,99.0,277.0,1024.0,2.0,1.0,,,,30.0,
6.0,68.0,10.0,21.0,9.0,93.0,77.0,290.0,1024.0,3.0,1.0,,,,21.0,
7.0,42.0,8.0,44.0,9.0,96.0,52.0,298.0,1024.0,2.0,1.0,,,,22.0,
3.0,23.0,9.0,47.0,9.0,93.0,27.0,295.0,1024.0,1.0,1.0,,,,15.0,
2.0,19.0,8.0,48.0,9.0,92.0,22.0,302.0,1024.0,2.0,1.0,,,,15.0,
5.0,27.0,11.0,38.0,8.0,93.0,34.0,309.0,1024.0,2.0,1.0,,,,13.0,
5.0,20.0,9.0,34.0,7.0,96.0,28.0,320.0,1023.0,3.0,1.0,,,,9.0,
5.0,17.0,7.0,32.0,7.0,95.0,24.0,302.0,1024.0,2.0,1.0,,,,10.0,
3.0,18.0,12.0,30.0,6.0,92.0,22.0,297.0,1024.0,2.0,1.0,,,,10.0,
6.0,29.0,13.0,16.0,5.0,94.0,37.0,281.0,1024.0,3.0,1.0,,,,12.0,
11.0,44.0,14.0,11.0,5.0,96.0,61.0,263.0,1024.0,3.0,1.0,,,,15.0,
150.0,101.0,16.0,2.0,5.0,96.0,331.0,273.0,1025.0,3.0,1.0,,,,38.0,
162.0,111.0,15.0,3.0,6.0,85.0,359.0,248.0,1025.0,10.0,1.0,,,,69.0,
109.0,94.0,12.0,6.0,7.0,81.0,260.0,310.0,1026.0,56.0,1.0,,,,239.0,
34.0,70.0,10.0,24.0,11.0,74.0,123.0,316.0,1026.0,93.0,1.0,,,,55.0,
12.0,45.0,8.0,41.0,13.0,70.0,64.0,323.0,1026.0,311.0,1.0,,,,70.0,
12.0,38.0,11.0,45.0,15.0,70.0,56.0,312.0,1026.0,427.0,1.0,,,,31.0,
8.0,21.0,13.0,62.0,16.0,66.0,34.0,86.0,1025.0,464.0,1.0,,,,20.0,
